Esaù vende la primogenitura a Giacobbe,71 C 24 41,TRUE
Incontro di Cristo e i discepoli sulla via di Emmaus,73 E 34,TRUE
Madonna con Bambino e san Girolamo,11 F 61 : 11 H (JEROME),TRUE
Madonna con Bambino in trono e donatori,11 F 42 (+5),TRUE
Orfeo incanta gli animali con la musica,94 O 51 1 : 48 C 73 13 : 25 F 1,TRUE
San Damiano,11 H (DAMIAN),TRUE
San Giovanni Evangelista (?),11 H (JOHN),TRUE
Allegoria della Fede,11 M 31,TRUE
Allegoria della Primavera,23 D 42 0,TRUE
Carnefice presenta a Salome la testa di san Giovanni Battista,73 C 13 34,TRUE
Cupido,92 D 1,TRUE
Diana al bagno con le ninfe,92 C 35 21,TRUE
Dio Padre in gloria,11 C 2 (+31),TRUE
Gesù Bambino e san Giovannino,73 B 83 2,TRUE
"Madonna con Bambino, san Giovannino e santa Elisabetta",73 B 83 11 1,TRUE
Madonna in adorazione del Bambino dormiente,73 B 21 : 31 B 1,TRUE
Mosè consegnato alla figlia del Faraone,71 E 11 25,TRUE
Pentimento di san Pietro,73 D 33 2,TRUE
San Girolamo estrae una spina dalla zampa del leone,11 H (JEROME) 51,TRUE
San Giuseppe e Gesù Bambino,73 B 72,TRUE
San Michele Arcangelo pesa le anime,11 G 18 31,TRUE
Santa Scolastica,11 HH (SCHOLASTICA),TRUE
Allegoria della Temperanza,54 A 43 (+2),TRUE
Cherubini,11 G 19 11,TRUE
Cristo fons vitae,11 D 32 6,TRUE
Cristo inchiodato alla croce,73 D 55,TRUE
Cristo risorto benedicente,73 E 15,TRUE
Eliezer e Rebecca al pozzo,71 C 21 31 1,TRUE
Eraclio riporta la vera croce a Gerusalemme,11 D 41 17 2,TRUE
Estasi di santa Maria Maddalena,11 HH (MARY MAGDALENE) 37,TRUE
Estate,23 D 43,TRUE
Lavanda di Gesù Bambino,73 B 13 21,TRUE
Morte di Adone,92 C 49 15,TRUE
Paesaggio con rovine,25 I 9,TRUE
Parnaso,93 C,TRUE
Ritrovamento della vera croce,11 D 41 16,TRUE
Salome consegna ad Erodiade la testa di san Giovanni Battista,73 C 13 35,TRUE
San Cosma,11 H (COSMAS),TRUE
San Romualdo,11 H (ROMUALD),TRUE
Santa Caterina da Siena riceve le stimmate,11 HH (CATHERINE OF SIENA) 59,TRUE
Sant'Elisabetta d'Ungheria,11 HH (ELISABETH OF HUNGARY),TRUE
Scena campestre,47 I 1,TRUE
Sibilla Cumana,11 I 2 (CUMEAN),TRUE
Storie della vita di san Giovanni Battista,73 C 1,TRUE
Ultima comunione di san Girolamo,11 H (JEROME) 68 1,TRUE
Allegoria di una Virtù,11 M,TRUE
Visione di Augusto,11 I 21,TRUE
Allegoria della Musica,48 C 70,TRUE
Allegoria della Speranza,56 D 1(+2),TRUE
Apollo e le Muse,92 B 37 31,TRUE
Caduta di Simon Mago,73 F 21 53 65,TRUE
Discesa di Cristo al limbo,73 D 94,TRUE
Cupido dormiente,92 D 15 5,TRUE
Elemosina di san Lorenzo,11 H (LAURENCE) 42,TRUE
Inverno,23 D 41,TRUE
Lavoro di Adamo ed Eva,71 A 7,TRUE
Madonna di Loreto,11 F 42 3 : 11 F 83 4,TRUE
Madonna in gloria,11 F 41 35,TRUE
Mosè e il roveto ardente,71 E 11 41 1,TRUE
Sacra Famiglia con san Giovannino e santa Elisabetta,73 B 82 11,TRUE
Santa Lucia trascinata dai buoi,11 HH (LUCY) 62,TRUE
Sant'Agostino (?),11 H (AUGUSTINE),TRUE
Simboli dei quattro evangelisti,11 I 42,TRUE
Tarquinio e Lucrezia,98 C (LUCRETIA) 6,TRUE
Tempesta marina,26 C 32,TRUE
Trionfo di Galatea,92 I 22 78,TRUE
Apollo,92 B 3,TRUE
Caduta della manna,71 E 12 54,TRUE
Commiato di Cristo dalla Madonna,73 D 17,TRUE
"Cristo crocifisso con la Madonna, san Giovanni Evangelista e santa Maria Maddalena",73 D 64 1,TRUE
Cristo ridona la vista al cieco nato,73 C 41 21,TRUE
Dedalo e Icaro,95 A (ICARUS) 51,TRUE
Diluvio Universale,71 B 33,TRUE
Dio Padre e angeli,11 C 2 (+3),TRUE
Episodi dell'Apocalisse,73 G,TRUE
Giuditta decapita Oloferne,71 U 42 73,TRUE
Giuseppe venduto dai fratelli,71 D 12 52,TRUE
Marte e Venere,92 B 42 3,TRUE
Pesca miracolosa,73 C 33,TRUE
Salomone,11 I 62 (SOLOMON),TRUE
San Bernardo,11 H (BERNARD),TRUE
San Giuliano,11 H (JULIAN),TRUE
Santa Lucia davanti al giudice Pascasio,11 HH (LUCY) 61,TRUE
Santa Monica,11 HH (MONICA),TRUE
Trionfo di Bacco,92 L 17 8,TRUE
Veronica,11 D 31 2,TRUE
Visione di san Francesco d'Assisi alla Porziuncola,11 H (FRANCIS) 34 1,TRUE
Visione di sant'Agostino,11 H (AUGUSTINE) 34,TRUE
Alessandro Magno riceve l'omaggio della famiglia di Dario,98 B (ALEXANDER THE GREAT) 52 1,TRUE
Apparizione di Cristo risorto agli apostoli,73 E 35,TRUE
Eroismo di Muzio Scevola,"98 B (SCAEVOLA, C.M.) 61",TRUE
Gesù Bambino,11 D 2,TRUE
Giuditta e Oloferne,71 U 4,TRUE
Giudizio di Mida,92 B 34 12 3,TRUE
Giuseppe in carcere interpreta i sogni del coppiere e del panettiere,71 D 14 5,TRUE
Madonna della cintola,11 F 62 : 11 F 73 1,TRUE
Martirio di santa Cecilia,11 HH (CECILIA) 68,TRUE
Martirio di sant'Apollonia,11 HH (APOLLONIA) 62,TRUE
Mosè riceve da Dio le tavole della legge,71 E 13 43,TRUE
Sacrificio di Caino e di Abele,71 A 81,TRUE
San Carlo Borromeo comunica gli appestati,11 H (CHARLES BORROMEO) 41 1,TRUE
San Domenico resuscita il giovane Napoleone Orsini,11 H (DOMINIC)53,TRUE
San Francesco d'Assisi rinuncia ai beni del padre,11 H (FRANCIS) 33,TRUE
San Gregorio,11 H (GREGORY),TRUE
San Luca Evangelista ritrae la Madonna,11 H (LUKE) 51,TRUE
San Michele Arcangelo combatte contro Satana,11 G 31,TRUE
Santa Caterina d'Alessandria (?),11 HH (CATHERINE),TRUE
Sant'Agata in carcere curata miracolosamente da san Pietro,11 HH (AGATHA) 63,TRUE
Sant'Ambrogio battezza sant'Agostino,11 H (AUGUSTINE) 32,TRUE
Tebaide,11Q3311,TRUE
Tre Grazie,92 D 3,TRUE
Venere piange la morte di Adone,92 C 49 15 1,TRUE
Venere tenta di trattenere Adone dall'andare a caccia,92 C 42 11,TRUE
Abramo,11 I 62 (ABRAHAM),TRUE
Adamo ed Eva nel paradiso terrestre,71 A 35,TRUE
Allegoria della Fama,59 B 32 (+2),TRUE
Allegoria dell'Abbondanza,51 H 42,TRUE
Allegoria dell'Inverno,23 D 41 0,TRUE
Antioco e Stratonice,98 B (ANTIOCHUS I) 61,TRUE
Apparizione di Cristo risorto alla Madonna,73 E 32,TRUE
Apparizione di san Michele Arcangelo sul monte Gargano,11 G 18 34 1,TRUE
Artemisia,98 C (ARTEMISIA) 6,TRUE
Bacco,92 L 1,TRUE
Banchetto degli dei,93 A 1,TRUE
Comunione degli apostoli,73 D 24 5,TRUE
Concerto campestre,48 CC 75 3,TRUE
Cristo cammina sulle acque del lago di Tiberiade,73 C 32 2,TRUE
Cristo crocifisso tra i dolenti,73 D 64 1,TRUE
Cristo guarisce la figlia della Cananea,73 C 43 1,TRUE
Cristo morto,73 D 76 1,TRUE
Danza di contadini,43 AA 23,TRUE
Diana e Callisto,92 C 35 21 1,TRUE
Ercole e il leone di Nemea,94 L 32 1,TRUE
Giaele uccide Sisara,71 F 15 44,TRUE
Inferno,11 T 1,TRUE
Martirio di sant'Orsola e delle sue compagne,11 HH (URSULA) 61,TRUE
Matrimonio mistico di santa Caterina da Siena,11 HH (CATHERINE OF SIENA) 34 1,TRUE
Mendicanti,46 A 15 1,TRUE
Misteri del Rosario,11 Q 75 12 1,TRUE
Mosè difende le figlie di Jetro,71 E 11 32 1,TRUE
Putti vendemmiatori,92 D 19 16,TRUE
Ratto di Ganimede,92 BB 12 1,TRUE
Sacra Famiglia con san Giovanni Battista,73 B 82 1,TRUE
Salomone adora gli idoli,71 I 53 1,TRUE
San Benedetto (?),11 H (BENEDICT),TRUE
San Giovanni Battista indica Cristo come l'Agnello di Dio,73 C 11 3,TRUE
San Giovanni Evangelista resuscita Drusiana,73 F 23 44 4,TRUE
Cacciata degli angeli ribelli dal paradiso,11 G 32,TRUE
San Nicola di Bari impedisce la decapitazione di un soldato innocente,11 H (NICHOLAS) 54,TRUE
San Paolo e san Pietro,11 H (PETER) : 11 H (PAUL),TRUE
San Raffaele Arcangelo,11 G 18 5,TRUE
Santa Maria Maddalena (?),11 HH (MARY MAGDALENE),TRUE
Sant'Antonio Abate (?),11 H (ANTONY ABBOT),TRUE
Santi francescani,11 P 31 5 (FRANCESCANI),TRUE
Santi vescovi,11 P 31 13,TRUE
Suonatore di liuto,48 C 75 11 1 : 48 C 73 23,TRUE
Testa di Cristo incoronata di spine,73 D 35 22,TRUE
Ultima comunione di santa Maria Maddalena,11 HH (MARY MAGDALENE) 68 1,TRUE
Verifica della vera croce,11 D 41 16 3,TRUE
Visita di Alessandro Magno a Diogene,98 B (DIOGENES) 51,TRUE
Adamo ed Eva rimproverati da Dio,71 A 53,TRUE
Agar e Ismaele nel deserto,71 C 12 84,TRUE
Agnus Dei,11 D 13 11,TRUE
Allegoria dell'Architettura,48 C 10,TRUE
Angeli adoranti,11 G 25,TRUE
Annuncio del transito della Madonna,73 E 71,TRUE
Apparizione della Madonna a san Bernardo scrivente,11 H (BERNARD) 34 1 (+3),TRUE
Atteone divorato dai cani,97 C 11,TRUE
Aurora,23 R 11 0,TRUE
Circe,95 B (CIRCE),TRUE
Cristo incoronato di spine,73 D 35 2,TRUE
