count,name,date,type,loc,viaf,ulan,source,wikidata,gnd
49,"Lucioni, Luigi",1900-1988,person,http://id.loc.gov/authorities/names/n84181248,http://viaf.org/viaf/55328740,http://vocab.getty.edu/ulan/500049579,data,http://www.wikidata.org/entity/Q3839797,https://d-nb.info/gnd/13316487X
49,"Detaille, Jean Baptiste",1848-1912,person,,,,,,
49,"Sterne, Maurice",1878-1957,person,http://id.loc.gov/authorities/names/nr90012974,http://viaf.org/viaf/95844995,http://vocab.getty.edu/ulan/500026464,data,http://www.wikidata.org/entity/Q3852444,https://d-nb.info/gnd/174335733
49,"Salisbury, Frank O",1874-1962,person,http://id.loc.gov/authorities/names/nr00037279,http://viaf.org/viaf/73695963,http://vocab.getty.edu/ulan/500006385,data,http://www.wikidata.org/entity/Q129331,https://d-nb.info/gnd/1217315241
49,"Martini, Simone",1283-1344,person,http://id.loc.gov/authorities/names/n50066929,http://viaf.org/viaf/101100651,http://vocab.getty.edu/ulan/500399029,data,http://www.wikidata.org/entity/Q221043,https://d-nb.info/gnd/118731394
49,"Baronzio, Giovanni",active 1344-1362,person,http://id.loc.gov/authorities/names/no2008076257,http://viaf.org/viaf/95723239,http://vocab.getty.edu/ulan/500006940,data,http://www.wikidata.org/entity/Q535607,https://d-nb.info/gnd/12899858X
48,"Stanley, John Mix",1814-1872,person,http://id.loc.gov/authorities/names/nr93033017,http://viaf.org/viaf/49102119,http://vocab.getty.edu/ulan/500028784,data,http://www.wikidata.org/entity/Q2676888,https://d-nb.info/gnd/1095138693
48,"Fulton, Robert",1765-1815,person,http://id.loc.gov/authorities/names/n50016797,http://viaf.org/viaf/41858391,http://vocab.getty.edu/ulan/500008343,data,http://www.wikidata.org/entity/Q192496,https://d-nb.info/gnd/118694278
48,"Herrera, Francisco de",1576-1656,person,http://id.loc.gov/authorities/names/n79093783,http://viaf.org/viaf/13445979,http://vocab.getty.edu/ulan/500011068,data,http://www.wikidata.org/entity/Q454912,https://d-nb.info/gnd/131589350
48,"Allan, David",1744-1796,person,http://id.loc.gov/authorities/names/no95013869,http://viaf.org/viaf/58661390,http://vocab.getty.edu/ulan/500007973,data,http://www.wikidata.org/entity/Q590576,https://d-nb.info/gnd/14144312X
48,"Johnson, David",-1908,person,http://id.loc.gov/authorities/names/n87877648,http://viaf.org/viaf/31063109,http://vocab.getty.edu/ulan/500005613,data,http://www.wikidata.org/entity/Q3695975,https://d-nb.info/gnd/118935690
48,"Wright, John Michael",approximately 1617-approximately 1694,person,http://id.loc.gov/authorities/names/n83227415,http://viaf.org/viaf/59882024,http://vocab.getty.edu/ulan/500020900,data,http://www.wikidata.org/entity/Q381698,https://d-nb.info/gnd/124723098
48,"Badger, Thomas",1792-1868,person,http://id.loc.gov/authorities/names/nr00029935,http://viaf.org/viaf/34297263,http://vocab.getty.edu/ulan/500027019,data,http://www.wikidata.org/entity/Q7787295,https://d-nb.info/gnd/1070606553
48,"Jouvenet, Jean",1644-1717,person,http://id.loc.gov/authorities/names/nr89009402,http://viaf.org/viaf/64276087,http://vocab.getty.edu/ulan/500010622,data,http://www.wikidata.org/entity/Q712455,https://d-nb.info/gnd/102524475
48,"Previtali, Andrea",approximately 1470-1528,person,http://id.loc.gov/authorities/names/nr2005007624,http://viaf.org/viaf/95850012,http://vocab.getty.edu/ulan/500027274,data,http://www.wikidata.org/entity/Q1097187,https://d-nb.info/gnd/118793314
48,"Wootton, John",approximately 1682-1764,person,http://id.loc.gov/authorities/names/n85251211,http://viaf.org/viaf/26051681,http://vocab.getty.edu/ulan/500025593,data,http://www.wikidata.org/entity/Q600088,https://d-nb.info/gnd/143710052
